Item,Quantity,Reference,ASSY,Value,Rating,PCB Footprint,PN,Part Type,Manufacturer,Manufacturer Part Number,Description,Temperature
27,2,"R91,R96",,49.9R,1%,R0201,301012326,RES,YAGEO,RC0201FR-0749R9L,SMD RES 49.9R-1%-1/20W;0201,-55°C to 125°C
28,5,"R81,R90,R92,R98,R99",,499R,1%,R0402,301012386,RES,YAGEO,RC0402FR-07499RL,SMD RES 499R-1%-1/16W;0402,-55°C to 155°C
29,1,R277,,1.87K,1%,R0402,301012683,RES,YAGEO,RC0402FR-071K87L,SMD RES 1.87k-1%-1/16W;0402,-55°C to 155°C
30,5,"R88,R89,R94,R97,R100",,3.01K,1%,R0402,301012826,RES,YAGEO,RC0402FR-073K01L,SMD RES 3.01K-1%-1/16W;0402,-55°C to 155°C
31,1,R290,,9.53K,1%,R0402,301013066,RES,YAGEO,RC0402FR-079K53L,SMD RES 9.53K-1%-1/16W;0402,-55°C to 155°C
32,1,R306,,909K,1%,R0402,301013073,RES,YAGEO,RC0402FR-07909KL,SMD RES-909K-1%-1/16W;0402,-55°C to 155°C
33,1,R204,,5.76K,1%,R0402,301013075,RES,YAGEO,RC0402FR-075K76L,SMD RES 5.76K-1%-1/16W;0402,-55°C to 155°C
34,1,R74,,16.5K,1%,R0201,301013267,RES,YAGEO,RC0201FR-0716K5L,SMD RES;16.5K-1%-1/20W;0201,-55°C to 125°C
35,1,R58,,3.4K,1%,R0201,301013268,RES,YAGEO,RC0201FR-073K4L,SMD RES;3.4K-1%-1/20W;0201,-55°C to 125°C
36,1,R3,,21K,1%,R0201,301013269,RES,YAGEO,RC0201FR-0721KL,SMD RES;21K-1%-1/20W;0201,-55°C to 125°C
37,1,R2,,26.1K,1%,R0201,301013270,RES,YAGEO,RC0201FR-0726K1L,SMD RES;26.1K-1%-1/20W;0201,-55°C to 125°C
38,1,R45,,2.05K,1%,R0201,301013271,RES,YAGEO,RC0201FR-072K05L,SMD RES;2.05K-1%-1/20W;0201,-55°C to 125°C
39,1,R35,,0.005R,1%,R1206,301013272,RES,YAGEO,PA1206FRE470R005L,SMD RES;0.005R-1%-50ppm/°C-1W;1206,-55°C to 170°C
40,5,"R29,R31,R32,R33,R34",,0R,4A,R0406,301013275,RES,Vishay,RCA04060000Z0EALS,SMD RES;0R-Jumper-10mR-4A-1/4W;0406,-55°C to 155°C
41,1,R164,,1.69K,1%,R0402,301013290,RES,YAGEO,RC0402FR-071K69L,SMD RES 1.69K-1%-1/16W;0402,-55°C to 155°C
42,1,R166,,3.57K,1%,R0402,301013291,RES,YAGEO,RC0402FR-073K57L,SMD RES 3.57K-1%-1/16W;0402,-55°C to 155°C
43,3,"C328,C334,C504",,10pF,"50V,NPO",C0402,302010001,Ceramic,YAGEO,CC0402JRNPO9BN100,SMD CAP Ceramic 10pF-50V-5%-NPO;0402,-55°C to 125°C
44,1,C455,,220pF,"50V,NPO",C0402,302010013,Ceramic,YAGEO,CC0402JRNPO9BN221,SMD CAP Ceramic 220pF-50V-5%-NPO;0402,-55°C to 125°C
45,4,"C11,C36,C92,C406",,100nF,"25V,X7R",C0402,302010024,Ceramic,YAGEO,CC0402KRX7R8BB104,SMD CAP Ceramic 100nF-25V-10%-X7R;0402,-55°C to 125°C
46,1,C91,,330pF,"50V,X7R",C0402,302010025,Ceramic,YAGEO,CC0402KRX7R9BB331,SMD CAP Ceramic 330pF-50V-10%-X7R;0402,-55°C to 125°C
47,4,"C321,C322,C350,C351",,27pF,"50V,NPO",C0402,302010027,Ceramic,YAGEO,CC0402JRNPO9BN270,SMD CAP Ceramic 27pF-50V-5%-NPO;0402,-55°C to 125°C
48,41,"C19,C66,C94,C112,C124,C136,C153,C191,C200,C213,C227,C230,C248,C256,C262,C263,C266,C271,C275,C287,C290,C291,C293,C294,C299,C303,C304,C305,C314,C352,C354,C363,C370,C378,C383,C386,C390,C399,C463,C499,C541",,1uF,"10V,X5R",C0402,302010040,Ceramic,YAGEO,CC0402KRX5R6BB105,SMD CAP Ceramic 1uF-10V-10%-X5R;0402,-55°C to 85°C
49,4,"C325,C335,C527,C529",,12pF,"50V,NPO",C0402,302010049,Ceramic,YAGEO,CC0402JRNPO9BN120,SMD CAP Ceramic 12pF-50V-5%-NPO;0402,-55°C to 125°C
50,27,"C15,C20,C25,C26,C27,C28,C29,C39,C40,C41,C42,C43,C68,C93,C453,C482,C483,C484,C485,C486,C487,C489,C490,C491,C492,C493,C494",,2.2uF,"10V,X7R",C0603,302010054,Ceramic,YAGEO,CC0603KRX7R6BB225,SMD CAP Ceramic 2.2uF-10V-10%-X7R;0603,-55°C to 125°C
51,23,"C113,C149,C186,C211,C226,C238,C254,C283,C284,C285,C329,C330,C360,C364,C365,C372,C379,C382,C389,C401,C421,C427,C543",,4.7uF,"10V,X5R",C0603,302010111,Ceramic,YAGEO,CC0603KRX5R6BB475,SMD CAP Ceramic 4.7uF-10V-10%-X5R;0603,-55°C to 85°C
52,15,"C37,C45,C47,C87,C109,C120,C148,C276,C300,C301,C349,C369,C387,C446,C447",,22uF,"6.3V,X5R",C0805,302010171,Ceramic,YAGEO,CC0805MKX5R5BB226,SMD CAP Ceramic 22uF-6.3V-20%-X5R;0805,-55°C to 85°C
53,15,"C343,C344,C346,C404,C428,C429,C430,C442,C451,C452,C457,C466,C469,C470,C475",,470nF,"10V,X5R",C0402,302010232,Ceramic,YAGEO,CC0402KRX5R6BB474,SMD CAP Ceramic 470nF-10V-10%-X5R;0402,-55°C to 85°C
54,1,C495,,4.7nF,"50V,X7R",C0402,302010261,Ceramic,YAGEO,CC0402KRX7R9BB472,SMD CAP Ceramic;4.7nF-50V-10%-X7R;0402,-55°C to 125°C
